taxid	species	genus	family	order	class	origin_probe_sequences	tiling_probe_sequences	kmer_filter_removed	eprobe_filter_removed	filtered_probe_retained
89632	Dicerorhinus sumatrensis	Dicerorhinus	Rhinocerotidae	Perissodactyla	Mammalia	3284	0	574	1325	1385
9805	Diceros bicornis	Diceros	Rhinocerotidae	Perissodactyla	Mammalia	3273	3273	0	0	3273
102233	Rhinoceros sondaicus	Rhinoceros	Rhinocerotidae	Perissodactyla	Mammalia	3275	0	327	1612	1336
9809	Rhinoceros unicornis	Rhinoceros	Rhinocerotidae	Perissodactyla	Mammalia	3357	0	289	1740	1328
9802	Tapirus indicus	Tapirus	Tapiridae	Perissodactyla	Mammalia	3335	0	120	2058	1157
9801	Tapirus terrestris	Tapirus	Tapiridae	Perissodactyla	Mammalia	3346	3346	0	0	3346
9974	Manis javanica	Manis	Manidae	Pholidota	Mammalia	3305	0	1193	882	1230
143292	Manis pentadactyla	Manis	Manidae	Pholidota	Mammalia	3304	0	2658	335	311
73815	Phataginus tetradactyla	Phataginus	Manidae	Pholidota	Mammalia	3305	0	3225	41	39
9355	Bradypus variegatus	Bradypus	Bradypodidae	Pilosa	Mammalia	3319	3319	0	0	3319
27675	Choloepus didactylus	Choloepus	Megalonychidae	Pilosa	Mammalia	3300	3300	0	0	3300
136416	Nothrotheriops shastensis	Nothrotheriops	Megatheriidae	Pilosa	Mammalia	3081	3081	0	0	3081
48784	Mylodon darwinii	Mylodon	Mylodontidae	Pilosa	Mammalia	3280	3280	0	0	3280
71006	Myrmecophaga tridactyla	Myrmecophaga	Myrmecophagidae	Pilosa	Mammalia	3291	0	77	1926	1288
48850	Tamandua tetradactyla	Tamandua	Myrmecophagidae	Pilosa	Mammalia	3269	3269	0	0	3269
9514	Cebus albifrons	Cebus	Cebidae	Primates	Mammalia	3302	3302	0	0	3302
9534	Chlorocebus aethiops	Chlorocebus	Cercopithecidae	Primates	Mammalia	3269	3269	0	0	3269
60710	Chlorocebus pygerythrus	Chlorocebus	Cercopithecidae	Primates	Mammalia	3260	0	2453	335	472
60711	Chlorocebus sabaeus	Chlorocebus	Cercopithecidae	Primates	Mammalia	3300	0	578	1192	1530
60712	Chlorocebus tantalus	Chlorocebus	Cercopithecidae	Primates	Mammalia	3265	0	1331	821	1113
33548	Colobus guereza	Colobus	Cercopithecidae	Primates	Mammalia	3321	0	89	1759	1473
9541	Macaca fascicularis	Macaca	Cercopithecidae	Primates	Mammalia	3305	0	2640	281	384
9544	Macaca mulatta	Macaca	Cercopithecidae	Primates	Mammalia	3303	0	832	1000	1471
9546	Macaca sylvanus	Macaca	Cercopithecidae	Primates	Mammalia	3308	0	218	1312	1778
54602	Macaca thibetana	Macaca	Cercopithecidae	Primates	Mammalia	3298	0	200	1272	1826
43780	Nasalis larvatus	Nasalis	Cercopithecidae	Primates	Mammalia	3304	0	581	1647	1076
9557	Papio hamadryas	Papio	Cercopithecidae	Primates	Mammalia	3295	0	991	922	1382
164648	Piliocolobus badius	Piliocolobus	Cercopithecidae	Primates	Mammalia	3309	0	119	1937	1253
78451	Presbytis melalophos	Presbytis	Cercopithecidae	Primates	Mammalia	3300	0	3172	41	87
54133	Pygathrix nemaeus	Pygathrix	Cercopithecidae	Primates	Mammalia	3085	0	115	1826	1144
61622	Rhinopithecus roxellana	Rhinopithecus	Cercopithecidae	Primates	Mammalia	3301	0	393	1837	1071
88029	Semnopithecus entellus	Semnopithecus	Cercopithecidae	Primates	Mammalia	3298	0	95	1898	1305
54181	Trachypithecus obscurus	Trachypithecus	Cercopithecidae	Primates	Mammalia	3302	0	132	1920	1250
31869	Daubentonia madagascariensis	Daubentonia	Daubentoniidae	Primates	Mammalia	3314	3314	0	0	3314
